ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60608,36,08/30/2020,09/05/2020,59,2476,74,3126.1,1721,25834,2173,32616.6,0.1,0.1,1,78,1.3,98.5,79205,60608-2020-36,POINT (-87.670366 41.849879)
60615,29,07/12/2020,07/18/2020,37,478,89,1150.1,859,7391,2067,17782.6,0.0,0.1,0,16,0.0,38.5,41563,60615-2020-29,POINT (-87.602725 41.801993)
60646,43,10/18/2020,10/24/2020,56,755,200,2697.7,770,12853,2751,45924.9,0.1,0.1,0,44,0.0,157.2,27987,60646-2020-43,POINT (-87.761826 41.993931)
60657,11,03/14/2021,03/20/2021,90,4699,128,6707.9,2645,100909,3776,144048.7,0.0,0.0,0,46,0.0,65.7,70052,60657-2021-11,POINT (-87.658216 41.939715)
60633,8,02/21/2021,02/27/2021,9,1239,70,9626.3,243,10842,1888,84235.9,0.0,0.1,1,15,7.8,116.5,12871,60633-2021-8,POINT (-87.556037 41.653147)
60660,50,12/06/2020,12/12/2020,101,1775,234,4104.8,1437,31465,3323,72764.9,0.1,0.1,5,53,11.6,122.6,43242,60660-2020-50,POINT (-87.666362 41.991062)
60653,13,03/28/2021,04/03/2021,47,2393,147,7484.7,976,44571,3053,139406.4,0.1,0.1,0,58,0.0,181.4,31972,60653-2021-13,POINT (-87.611244 41.819261)
60614,27,06/28/2020,07/04/2020,50,620,70,869.5,1550,8458,2174,11861.2,0.0,0.1,3,68,4.2,95.4,71308,60614-2020-27,POINT (-87.652064 41.922605)
60655,2,01/10/2021,01/16/2021,91,2891,316,10036.8,921,25786,3198,89522.3,0.1,0.1,0,31,0.0,107.6,28804,60655-2021-2,POINT (-87.701434 41.696456)
60649,37,09/06/2020,09/12/2020,17,1126,37,2446.5,619,15538,1345,33760.6,0.0,0.1,0,125,0.0,271.6,46024,60649-2020-37,POINT (-87.571522 41.762202)
60611,53,12/27/2020,01/02/2021,86,1660,265,5119.3,1043,33380,3217,102942.1,0.1,0.1,1,11,3.1,33.9,32426,60611-2020-53,POINT (-87.620291 41.894734)
60646,39,09/20/2020,09/26/2020,21,594,75,2122.4,454,10015,1622,35784.5,0.1,0.1,0,44,0.0,157.2,27987,60646-2020-39,POINT (-87.761826 41.993931)
60609,39,09/20/2020,09/26/2020,56,2571,91,4180.8,1115,23174,1813,37684.4,0.1,0.1,1,82,1.6,133.3,61495,60609-2020-39,POINT (-87.653382 41.812017)
60608,41,10/04/2020,10/10/2020,106,2880,134,3636.1,2140,35270,2702,44530,0.1,0.1,0,80,0.0,101.0,79205,60608-2020-41,POINT (-87.670366 41.849879)
60606,34,08/16/2020,08/22/2020,4,59,129,1902.6,136,2038,4386,65720.7,0.0,0.1,0,1,0.0,32.2,3101,60606-2020-34,POINT (-87.63676 41.882634)
60646,25,06/14/2020,06/20/2020,7,391,25,1397.1,396,3428,1415,12248.5,0.0,0.1,0,40,0.0,142.9,27987,60646-2020-25,POINT (-87.761826 41.993931)
60617,4,01/24/2021,01/30/2021,130,6810,158,8251.1,1815,65452,2199,79303.1,0.1,0.1,2,127,2.4,153.9,82534,60617-2021-4,POINT (-87.556897 41.721257)
60609,3,01/17/2021,01/23/2021,142,6254,231,10169.9,1795,56406,2919,91724.5,0.1,0.1,2,124,3.3,201.6,61495,60609-2021-3,POINT (-87.653382 41.812017)
60603,45,11/01/2020,11/07/2020,0,19,0,1618.4,41,647,3492,55110.7,0.0,0.0,0,0,0.0,0.0,1174,60603-2020-45,POINT (-87.625473 41.880112)
